datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
1/1/2018,-4.5,-12.2,-8.7,-5.2,-18.3,-13.3,58,0,0,0,0,23.8,291.8,15.9,5,1/1/2018 7:20:10 AM,1/1/2018 4:39:19 PM,Clear,Clear conditions throughout the day.,clear-day
1/2/2018,-1.7,-8.9,-6.1,-7.2,-16.9,-12.7,61.4,0,0,0,0,21.7,269,16,5,1/2/2018 7:20:15 AM,1/2/2018 4:40:11 PM,Clear,Clear conditions throughout the day.,clear-day
1/3/2018,0.5,-7.8,-4.1,-1.1,-14.6,-8.7,55.8,5.402,100,37.5,0.3,21.7,262.1,16,4,1/3/2018 7:20:18 AM,1/3/2018 4:41:04 PM,"Snow, Rain",Clear conditions throughout the day with rain.,snow
1/4/2018,-0.1,-5.7,-2.9,-3.9,-9.8,-6.9,75.9,1.301,100,54.17,2.4,21.7,37.3,9,1,1/4/2018 7:20:19 AM,1/4/2018 4:41:58 PM,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,snow
1/5/2018,-4.6,-11.2,-8.3,-8.2,-16.2,-13,58.8,0,0,0,1.3,14.4,279.1,16,5,1/5/2018 7:20:18 AM,1/5/2018 4:42:54 PM,Clear,Clear conditions throughout the day.,clear-day
1/6/2018,-3.7,-12.9,-10,-7.9,-22.1,-16.1,51.8,0,0,0,1,23.8,272.2,16,5,1/6/2018 7:20:14 AM,1/6/2018 4:43:51 PM,Clear,Clear conditions throughout the day.,clear-day
1/7/2018,-1.5,-14.4,-9.2,-5.8,-21.5,-14.7,54.1,0,0,0,0,27.6,244.9,16,5,1/7/2018 7:20:08 AM,1/7/2018 4:44:49 PM,Clear,Clear conditions throughout the day.,clear-day
1/8/2018,-0.6,-7.8,-3.7,-5.1,-16,-9.3,65.1,1.509,100,20.83,0,23.5,247.9,15.8,3,1/8/2018 7:20:00 AM,1/8/2018 4:45:49 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow
1/9/2018,8.2,-1.1,2.6,7,-6.1,-0.1,61.5,0.464,100,8.33,0,16.5,248.7,16,5,1/9/2018 7:19:49 AM,1/9/2018 4:46:50 PM,Rain,Clear conditions throughout the day with rain.,rain
1/10/2018,6,-0.1,2.5,4.9,-4,0.4,63.9,2.121,100,4.17,0,18.2,262,16,5,1/10/2018 7:19:36 AM,1/10/2018 4:47:52 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
